iter	RMSE
0	65028.59173
1	62330.84866
2	59888.95127
3	57409.68061
4	55052.95104
5	52847.38279
6	50689.87302
7	48641.6483
8	46738.17254
9	44969.60415
10	43177.50531
11	41540.16342
12	39955.7207
13	38444.04695
14	37055.61571
15	35665.80361
16	34307.25442
17	33026.26947
18	31780.00559
19	30637.89045
20	29525.42516
21	28429.0196
22	27462.18945
23	26518.73879
24	25607.64866
25	24767.42678
26	23922.41426
27	23150.17228
28	22391.78112
29	21678.8108
30	20940.09863
31	20266.51452
32	19663.13263
33	19079.7745
34	18519.57655
35	17976.20425
36	17428.98516
37	16891.77877
38	16372.92183
39	15894.19129
40	15430.36482
41	15012.29143
42	14595.73344
43	14216.93175
44	13883.63609
45	13584.24288
46	13269.30303
47	12983.74623
48	12685.51785
49	12443.62215
50	12177.9774
51	11937.2146
52	11711.78313
53	11485.33978
54	11260.59577
55	11043.59064
56	10865.15012
57	10667.74094
58	10509.02194
59	10343.73594
60	10188.14806
61	10033.33926
62	9911.161703
63	9757.675605
64	9627.967831
65	9507.207585
66	9395.205704
67	9264.088313
68	9150.094723
69	9029.375414
70	8917.22199
71	8802.976641
72	8715.400272
73	8630.791096
74	8537.273974
75	8451.029018
76	8366.498419
77	8270.668132
78	8205.508982
79	8129.97628
80	8045.714996
81	7967.179887
82	7881.979648
83	7816.209923
84	7750.761604
85	7684.384193
86	7622.784449
87	7566.044798
88	7504.628962
89	7462.387548
90	7405.337663
91	7353.649422
92	7286.96847
93	7238.042343
94	7189.70887
95	7143.069218
96	7097.882333
97	7060.70102
98	7010.597512
99	6976.265633
100	6933.807172
101	6898.844266
102	6855.703663
103	6818.157038
104	6779.42012
105	6738.846922
106	6701.468068
107	6666.297399
108	6634.725593
109	6591.177013
110	6556.463635
111	6528.89945
112	6495.615874
113	6462.951254
114	6432.655725
115	6404.699669
116	6379.685316
117	6355.716157
118	6324.590167
119	6291.875883
120	6271.420051
121	6244.272335
122	6205.591618
123	6185.594859
124	6160.780079
125	6131.976054
126	6105.193387
127	6082.814104
128	6056.568141
129	6027.448931
130	6001.961091
131	5980.067252
132	5957.354422
133	5924.908574
134	5901.305471
135	5873.99067
136	5854.796448
137	5837.74111
138	5825.257917
139	5805.032021
140	5774.688708
141	5745.193734
142	5729.32527
143	5710.059999
144	5694.377409
145	5674.437006
146	5651.541575
147	5632.714491
148	5611.19644
149	5592.315609
150	5583.204153
151	5564.843632
152	5548.722346
153	5534.768691
154	5523.149661
155	5510.056585
156	5496.743189
157	5484.425344
158	5470.873476
159	5462.635856
160	5447.807321
161	5434.052232
162	5416.64713
163	5393.431445
164	5381.083004
165	5362.50577
166	5343.371919
167	5325.933713
168	5317.181192
169	5305.676569
170	5292.8345
171	5287.34028
172	5270.880231
173	5259.823588
174	5244.765736
175	5230.580641
176	5219.09604
177	5208.106011
178	5203.803244
179	5192.387914
180	5177.990344
181	5166.972147
182	5153.615552
183	5142.323266
184	5130.784547
185	5121.700411
186	5116.178221
187	5096.043837
188	5082.351439
189	5066.674256
190	5054.408089
191	5047.87955
192	5041.908085
193	5025.01862
194	5012.520895
195	5006.269889
196	4996.572776
197	4984.850304
198	4974.130172
199	4965.237931
200	4958.309312
201	4947.226529
202	4930.53874
203	4914.313197
204	4903.525058
205	4892.373622
206	4877.708799
207	4864.245333
208	4852.438542
209	4837.2474
210	4826.533202
211	4821.421645
212	4812.446555
213	4802.037725
214	4793.257403
215	4784.064551
216	4771.533486
217	4761.77057
218	4754.048722
219	4742.822017
220	4734.017928
221	4722.797859
222	4705.813073
223	4696.95465
224	4687.532235
225	4683.302447
226	4677.550094
227	4670.588478
228	4660.731019
229	4656.952116
230	4647.705412
231	4632.790133
232	4624.81756
233	4619.605947
234	4608.097403
235	4601.338966
236	4588.506944
237	4578.850719
238	4568.84083
239	4558.924723
240	4546.989413
241	4540.952884
242	4527.365662
243	4520.687921
244	4514.042502
245	4506.705654
246	4499.38896
247	4493.830647
248	4483.714071
249	4478.645482
250	4466.324518
251	4457.232219
252	4451.912991
253	4443.250387
254	4431.515082
255	4426.640432
256	4419.18434
257	4410.79647
258	4398.860038
259	4392.139218
260	4383.222092
261	4379.257309
262	4371.752803
263	4368.09888
264	4357.630005
265	4346.534441
266	4342.612821
267	4336.017346
268	4329.254447
269	4321.4045
270	4314.659174
271	4311.151934
272	4303.680129
273	4295.833373
274	4289.224555
275	4281.036422
276	4272.013415
277	4263.960948
278	4259.497408
279	4253.573066
280	4244.346844
281	4238.630198
282	4233.074564
283	4223.924852
284	4218.331787
285	4209.554992
286	4201.007081
287	4195.385415
288	4187.019654
289	4178.826271
290	4174.344196
291	4165.763786
292	4160.211209
293	4155.532897
294	4149.865695
295	4143.347145
296	4134.889508
297	4128.745308
298	4123.051602
299	4119.538219
300	4115.780991
301	4110.83351
302	4102.976119
303	4094.193533
304	4089.405235
305	4085.603302
306	4076.958348
307	4069.286396
308	4063.01916
309	4054.910907
310	4043.793403
311	4038.564483
312	4033.009913
313	4028.33326
314	4022.970233
315	4019.458282
316	4012.482314
317	4006.355471
318	4004.546993
319	3998.665995
320	3994.731834
321	3987.862653
322	3984.133851
323	3978.802192
324	3973.346785
325	3969.829522
326	3966.666153
327	3960.836069
328	3954.831216
329	3951.458144
330	3947.288468
331	3941.519587
332	3936.13167
333	3931.362092
334	3927.352402
335	3925.22588
336	3920.557423
337	3916.704183
338	3910.238183
339	3902.131987
340	3898.272683
341	3893.617291
342	3887.961049
343	3885.282316
344	3881.77039
345	3877.135772
346	3869.55998
347	3864.4636
348	3860.144754
349	3855.418989
350	3849.881724
351	3847.02535
352	3842.118744
353	3837.583476
354	3833.65216
355	3830.0957
356	3824.637222
357	3821.15806
358	3814.654232
359	3808.593542
360	3805.267516
361	3800.621136
362	3797.294168
363	3793.343879
364	3788.650419
365	3784.366219
366	3778.861704
367	3773.005637
368	3770.227216
369	3762.766385
370	3758.199297
371	3753.932226
372	3747.234125
373	3742.894378
374	3741.344648
375	3738.284891
376	3735.20394
377	3733.885774
378	3731.432883
379	3728.989454
380	3725.984646
381	3721.886684
382	3716.755319
383	3711.43671
384	3708.182797
385	3705.46194
386	3700.660962
387	3696.68578
388	3691.592059
389	3688.121875
390	3685.859584
391	3681.434163
392	3676.378212
393	3673.048183
394	3666.01639
395	3659.3895
396	3655.705343
397	3649.831361
398	3647.006776
399	3644.355005
400	3639.806413
401	3636.654321
402	3632.052703
403	3628.736443
404	3624.565251
405	3621.405711
406	3617.408465
407	3615.381152
408	3612.924339
409	3609.541492
410	3607.237697
411	3605.563067
412	3600.073962
413	3595.062189
414	3590.681001
415	3589.384546
416	3586.107273
417	3583.680693
418	3578.470802
419	3573.327515
420	3568.323693
421	3563.18073
422	3558.629259
423	3554.904102
424	3549.808222
425	3545.547289
426	3541.545408
427	3537.118955
428	3533.898102
429	3531.150175
430	3528.179351
431	3524.472644
432	3520.565994
433	3518.070119
434	3516.872179
435	3512.356179
436	3509.482901
437	3506.131021
438	3502.145383
439	3498.952793
440	3495.731039
441	3490.584694
442	3487.915721
443	3485.830557
444	3482.140204
445	3478.770031
446	3476.517891
447	3474.050056
448	3471.125788
449	3465.980652
450	3463.25907
451	3459.834403
452	3454.536999
453	3450.415744
454	3446.886328
455	3445.186318
456	3440.895453
457	3436.777891
458	3433.446197
459	3431.773298
460	3428.26841
461	3425.740979
462	3420.051636
463	3416.42733
464	3411.493309
465	3408.191147
466	3405.118197
467	3400.450294
468	3397.287074
469	3393.527174
470	3390.720498
471	3386.734102
472	3382.131798
473	3379.680071
474	3376.051699
475	3371.761338
476	3370.301106
477	3366.192327
478	3363.488447
479	3361.778701
480	3357.932978
481	3354.56842
482	3351.187697
483	3347.300858
484	3345.935235
485	3340.823242
486	3338.239228
487	3335.704007
488	3332.531587
489	3328.485156
490	3324.964069
491	3322.492832
492	3318.198973
493	3315.086644
494	3311.837324
495	3308.705928
496	3303.994893
497	3301.343043
498	3298.747693
499	3296.313117
500	3293.663476
501	3291.415775
502	3288.901434
503	3285.191359
504	3283.333525
505	3280.45273
506	3276.818552
507	3274.155825
508	3270.233949
509	3266.481148
510	3263.616683
511	3260.285089
512	3257.066464
513	3254.984667
514	3253.035932
515	3249.595291
516	3245.672574
517	3241.970781
518	3239.430083
519	3236.928751
520	3235.65339
521	3234.335291
522	3231.699173
523	3229.31159
524	3226.348928
525	3224.01614
526	3220.509062
527	3216.683298
528	3213.060875
529	3209.379916
530	3207.00467
531	3204.29847
532	3202.206002
533	3199.904596
534	3199.046209
535	3197.57385
536	3193.933947
537	3191.135033
538	3190.125813
539	3186.732026
540	3183.914832
541	3180.873361
542	3178.293816
543	3173.914641
544	3169.931028
545	3167.238068
546	3166.041834
547	3162.820609
548	3161.22732
549	3158.023724
550	3156.301838
551	3153.286547
552	3150.312222
553	3147.673655
554	3143.466851
555	3142.169146
556	3140.928299
557	3140.207157
558	3137.01056
559	3134.271663
560	3131.514354
561	3128.585565
562	3123.577537
563	3120.370213
564	3116.6114
565	3114.484472
566	3111.212469
567	3108.935291
568	3106.346817
569	3103.021877
570	3099.783538
571	3096.754375
572	3094.605445
573	3089.162109
574	3088.661008
575	3087.43229
576	3083.05362
577	3080.072183
578	3077.824434
579	3075.617899
580	3073.028722
581	3071.449513
582	3067.705519
583	3065.848942
584	3062.137308
585	3059.361833
586	3057.780108
587	3052.228589
588	3050.478865
589	3047.991545
590	3045.666274
591	3041.092499
592	3038.336775
593	3035.259807
594	3034.348205
595	3032.508367
596	3029.963193
597	3026.80814
598	3025.182896
599	3021.218103
600	3019.526421
601	3016.521727
602	3015.058542
603	3011.892975
604	3008.958301
605	3006.333247
606	3002.525452
607	3000.784534
608	2998.623933
609	2997.634086
610	2994.739347
611	2992.358393
612	2989.808057
613	2987.104264
614	2983.663131
615	2981.086586
616	2978.715537
617	2975.019668
618	2972.079578
619	2968.655747
620	2965.50689
621	2964.981442
622	2961.563962
623	2960.24988
624	2958.242682
625	2956.195479
626	2954.276169
627	2951.837378
628	2949.305446
629	2945.636997
630	2945.16603
631	2943.025397
632	2941.82825
633	2940.023699
634	2937.625486
635	2934.981496
636	2932.722003
637	2930.733749
638	2929.584401
639	2927.300216
640	2923.737246
641	2920.53444
642	2918.664338
643	2915.762266
644	2912.23882
645	2910.393934
646	2907.87132
647	2906.598877
648	2903.456147
649	2901.512899
650	2897.417593
651	2896.80258
652	2894.011386
653	2892.891632
654	2889.573904
655	2886.919537
656	2884.210917
657	2881.340049
658	2878.94875
659	2877.890796
660	2874.579396
661	2870.949797
662	2867.941903
663	2863.932595
664	2861.525476
665	2860.760539
666	2858.283154
667	2857.208028
668	2852.651656
669	2849.706198
670	2847.640165
671	2844.834235
672	2841.821147
673	2840.037954
674	2837.793155
675	2836.906668
676	2834.496934
677	2833.164379
678	2830.786986
679	2827.772091
680	2825.399518
681	2823.801243
682	2821.257768
683	2818.638511
684	2818.086464
685	2814.775163
686	2812.813253
687	2810.207703
688	2809.317406
689	2806.284062
690	2804.10187
691	2802.600986
692	2801.407087
693	2800.214
694	2798.638955
695	2796.022562
696	2793.092283
697	2790.943473
698	2787.460147
699	2784.742568
700	2782.158583
701	2779.106869
702	2776.887977
703	2774.151547
704	2772.732508
705	2770.26943
706	2768.447919
707	2765.893355
708	2764.415686
709	2761.434026
710	2759.010502
711	2757.46306
712	2755.827164
713	2753.197954
714	2750.837365
715	2750.0926
716	2748.159847
717	2747.293697
718	2744.038428
719	2741.424828
720	2738.366631
721	2736.174679
722	2734.607247
723	2734.115922
724	2730.708752
725	2729.734955
726	2728.327948
727	2726.114959
728	2724.025601
729	2723.12954
730	2720.799234
731	2720.03367
732	2718.300556
733	2715.494059
734	2714.866956
735	2711.674303
736	2708.836112
737	2706.992176
738	2704.532773
739	2703.170526
740	2700.673092
741	2698.388028
742	2696.095888
743	2695.200171
744	2692.627378
745	2690.30325
746	2687.679113
747	2685.020467
748	2680.944282
749	2679.403516
750	2677.67527
751	2674.847511
752	2674.011141
753	2672.079878
754	2669.265036
755	2666.769863
756	2665.182686
757	2664.09326
758	2661.931058
759	2660.070549
760	2657.079444
761	2656.257201
762	2654.07071
763	2653.278802
764	2651.504344
765	2650.271273
766	2647.671771
767	2646.625712
768	2644.66236
769	2641.560437
770	2639.021088
771	2636.18971
772	2634.885459
773	2633.923732
774	2633.359208
775	2632.773925
776	2630.476489
777	2628.602825
778	2626.75025
779	2623.855709
780	2621.422139
781	2618.777444
782	2616.973778
783	2613.807184
784	2613.070156
785	2609.620188
786	2607.899239
787	2606.498946
788	2603.655289
789	2600.963633
790	2599.283133
791	2598.402695
792	2597.169591
793	2595.228681
794	2593.554677
795	2590.105083
796	2587.331775
797	2584.136928
798	2581.889986
799	2578.616492
800	2577.22409
801	2576.440922
802	2574.735387
803	2573.269971
804	2570.499738
805	2569.72838
806	2567.102378
807	2565.412524
808	2564.691078
809	2562.1862
810	2560.677346
811	2559.010706
812	2556.753289
813	2555.761992
814	2554.484555
815	2553.803246
816	2552.09651
817	2550.754341
818	2548.799899
819	2547.178198
820	2546.001554
821	2543.597198
822	2542.349665
823	2539.170631
824	2537.636539
825	2535.333659
826	2532.904702
827	2532.243081
828	2531.086383
829	2528.187167
830	2526.870641
831	2524.617114
832	2522.915021
833	2521.639286
