iter	Passed	Remaining
0	256	256064
1	358	178645
2	445	148114
3	530	132057
4	612	121892
5	685	113578
6	763	108304
7	835	103567
8	912	100431
9	985	97590
10	1065	95764
11	1139	93819
12	1221	92777
13	1294	91188
14	1375	90326
15	1451	89265
16	1530	88504
17	1607	87683
18	1685	87011
19	1758	86175
20	1838	85710
21	1910	84935
22	1988	84476
23	2063	83901
24	2140	83480
25	2215	82985
26	2292	82623
27	2369	82260
28	2448	81990
29	2519	81479
30	2608	81540
31	2683	81169
32	2771	81211
33	2845	80833
34	2924	80639
35	3003	80415
36	3087	80356
37	3161	80034
38	3241	79878
39	3319	79674
40	3401	79568
41	3477	79316
42	3556	79142
43	3632	78916
44	3714	78829
45	3789	78596
46	3876	78608
47	3951	78373
48	4029	78211
49	4104	77987
50	4184	77865
51	4261	77685
52	4339	77541
53	4414	77340
54	4496	77251
55	4569	77024
56	4636	76706
57	4714	76577
58	4792	76441
59	4866	76248
60	4949	76191
61	5027	76066
62	5107	75960
63	5180	75757
64	5260	75666
65	5331	75455
66	5411	75350
67	5484	75175
68	5563	75062
69	5640	74936
70	5727	74939
71	5801	74778
72	5885	74733
73	5959	74577
74	6041	74514
75	6120	74414
76	6204	74372
77	6303	74513
78	6404	74661
79	6477	74488
80	6561	74446
81	6635	74283
82	6717	74216
83	6792	74070
84	6872	73981
85	6947	73833
86	7024	73720
87	7107	73659
88	7191	73615
89	7267	73479
90	7349	73418
91	7424	73276
92	7508	73226
93	7583	73092
94	7667	73040
95	7745	72939
96	7833	72927
97	7915	72854
98	8002	72832
99	8078	72709
100	8169	72719
101	8244	72580
102	8331	72552
103	8411	72467
104	8496	72419
105	8570	72281
106	8651	72205
107	8731	72114
108	8818	72088
109	8897	71985
110	8979	71916
111	9056	71805
112	9142	71763
113	9217	71640
114	9299	71565
115	9374	71441
116	9455	71363
117	9531	71243
118	9612	71165
119	9687	71039
120	9770	70979
121	9843	70841
122	9928	70788
123	9998	70634
124	10079	70554
125	10154	70438
126	10237	70370
127	10310	70241
128	10393	70176
129	10466	70042
130	10547	69965
131	10622	69851
132	10706	69794
133	10779	69662
134	10858	69574
135	10937	69487
