craft,products,actual_median,predicted_median,mae,median_error,mean_percentage_error
Terracotta,28,1140.0,1190.5409785946183,165.6639670486895,140.69886176014825,21.881806606044346
Blue Pottery,128,1080.0,951.7804783194238,165.90185473679188,135.9508683558597,16.779135868123216
Pipili Applique,29,1700.0,1754.494684546451,201.66924435158933,124.43736900770637,12.479163728237184
Kondapalli Toys,41,1270.0,1174.1315446487524,214.3095113690462,173.9625152358003,18.472558202237607
Channapatna,31,990.0,1078.2135100536716,224.70853113214184,191.7864899463284,26.335847559983623
Sikki Craft,35,940.0,1062.925565132747,237.58748379277006,227.16934435027633,26.836025824160792
Moradabad Metal Craft,35,4410.0,4717.379341753158,428.2228119304419,370.56364163484886,9.979003114023905
Kalamkari,33,2730.0,2503.1106754031352,446.532445828385,310.566505594883,15.219565332940707
Kutch Embroidery,33,5410.0,5964.102136809469,547.1585474475792,374.8966603515937,13.221379466513131
Dhokra,41,6120.0,6280.3033832325145,596.804366291347,434.89826696777345,9.346456323712026
Bastar Dhokra,36,8160.0,8225.255313777474,714.1419308023192,621.7168298857796,8.234242059004735
Madhubani,38,4720.0,4770.665818835898,723.6001559779613,414.52915262169336,12.72095122869014
Kashmir Walnut Wood Carving,36,9010.0,9329.158874775809,785.1572761702128,567.6025567147644,7.297828240116999
Phulkari,40,7060.0,7450.900338123036,793.4068009666983,639.9872559167275,11.603773058672328
Sandalwood Carving,43,13300.0,13360.039003633814,1524.2815679680223,1325.0510797811203,11.55631775040249
Thanjavur Painting,36,21585.0,22933.15163956857,1685.2473335489994,1466.9868881184957,8.077647905442959
Pashmina,47,30820.0,32480.56111740797,2229.326523962702,2015.4465112612997,7.148521557465729
Banarasi,40,33630.0,34863.19653402718,2654.059459010691,2652.915653997643,8.938821756910421
