feature,feature_value,shap_value,absolute_shap
transport_cost,615,3154.154021335244,3154.154021335244
labor_hours,48.6,3136.0092841677115,3136.0092841677115
packaging_cost,345,2134.101938664861,2134.101938664861
market_price_min,11420.0,1946.5542958902731,1946.5542958902731
market_price_max,29950.0,1470.18227049571,1470.18227049571
market_reference_price,22530.0,1308.7668128495222,1308.7668128495222
direct_cost,5080,1166.4610423217537,1166.4610423217537
raw_material_cost,4120,728.8870288089938,728.8870288089938
category,Painting,518.4673500157363,518.4673500157363
market_comparable_count,59.0,-299.5507010472561,299.5507010472561
customization,Standard,-214.62844391210282,214.62844391210282
state,Tamil Nadu,160.0950879183438,160.0950879183438
complexity,Medium,-101.23302012573674,101.23302012573674
technique,Gold Leaf Work,55.460431069901595,55.460431069901595
region,South India,8.911351846198441,8.911351846198441
subcategory,Traditional Painting,-3.8904585042559647,3.8904585042559647
size,Medium,-3.737338908385521,3.737338908385521
material,Wood,-3.7324887348730984,3.7324887348730984
craft,Thanjavur Painting,0.0,0.0
product,Thanjavur Painting,0.0,0.0
