feature,mean_absolute_shap
labor_hours,2183.2185443065086
packaging_cost,1100.8222422829583
transport_cost,1027.009060784817
market_price_min,931.4279839837254
market_price_max,768.0763456021133
category,670.3037936058993
direct_cost,656.9260535636529
market_reference_price,632.8803496624836
region,610.5061776344048
raw_material_cost,405.9239318209182
market_comparable_count,187.12898110336428
customization,171.2877828289856
complexity,115.41500173031648
technique,34.16616502943568
state,29.86005058745385
size,11.85766749346579
subcategory,4.9522564514000225
material,2.463650112952595
craft,0.0
product,0.0
